"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",190,2,30,95,95,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,125,*",200,2,30,100,100,"2014-12-11"
"1.5KG POCKET","NAVEL,CL 1,L,*,*",5120,64,96,80,80,"2014-12-11"
"10KG CARTON TELESCOPIC","VALENCIA,CL 2,S,*,*",1860,93,930,20,20,"2014-12-13"
"6KG POCKET","VALENCIA,CL 2,S,*,*",2184,147,882,14.86,18,"2014-12-13"
"2KG POCKET","VALENCIA,CL 1,M,*,*",1510,272,544,5.55,6,"2014-12-13"
"6KG POCKET","VALENCIA,CL 2,M,*,*",11440,440,2640,26,26,"2014-12-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",4900,70,1050,70,70,"2014-12-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,105,*",24640,352,5280,70,70,"2014-12-13"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,88,*",225,3,45,75,75,"2014-12-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,88,*",29820,373,5595,79.95,90,"2014-12-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",16810,197,2955,85.33,90,"2014-12-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",430,5,75,86,90,"2014-12-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",24570,276,4140,89.02,90,"2014-12-13"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,40,*",630,7,105,90,90,"2014-12-13"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,48,*",1170,13,195,90,90,"2014-12-13"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,64,*",270,3,45,90,90,"2014-12-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,56,*",900,10,150,90,90,"2014-12-13"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,72,*",1180,13,195,90.77,100,"2014-12-13"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",16640,181,2715,91.93,95,"2014-12-13"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,65,*",8800,88,1320,100,100,"2014-12-13"
"330KG BULK BIN","VALENCIA,CL 1,*,*,*",800,2,660,400,400,"2014-12-20"
"6KG POCKET","NAVEL,CL 2,L,*,*",300,16,96,18.75,24,"2014-12-20"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,64,*",1450,24,360,60.42,80,"2014-12-20"
"6KG POCKET","VALENCIA,CL 2,M,*,*",19812,757,4542,26.17,28,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",12500,180,2700,69.44,80,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,105,*",10500,150,2250,70,70,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,125,*",140,2,30,70,70,"2014-12-20"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,48,*",1100,15,225,73.33,80,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,88,*",27240,358,5370,76.09,80,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",29580,379,5685,78.05,95,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",2190,27,405,81.11,90,"2014-12-20"
"2KG POCKET","VALENCIA,CL 1,M,*,*",4496,408,816,11.02,12,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,56,*",940,11,165,85.45,90,"2014-12-20"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,56,*",1730,19,285,91.05,100,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",1880,20,300,94,95,"2014-12-20"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,65,*",15500,155,2325,100,100,"2014-12-20"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,88,*",300,3,45,100,100,"2014-12-20"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",440,4,60,110,110,"2014-12-20"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,48,*",80,2,30,40,40,"2014-12-24"
