Container,ProductName,TotalValueSold,TotalQuantitySold,TotalKgSold,AveragePrice,HighestPrice,Date
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,105,*",17580,240,3600,73.25,85,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",15075,201,3015,75,75,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",4620,58,870,79.66,80,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,56,*",7120,89,1335,80,80,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,64,*",13600,170,2550,80,80,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,48,*",1680,21,315,80,80,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",38880,486,7290,80,80,2014-11-19
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,48,*",13440,160,2400,84,85,2014-11-19
15KG CARTON TELESCOPIC,"DELTA SEEDLESS,CL 1,*,64,*",85,1,15,85,85,2014-11-19
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,56,*",425,5,75,85,85,2014-11-19
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,40,*",5860,68,1020,86.18,90,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",32720,369,5535,88.67,90,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,72,*",14400,160,2400,90,90,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,56,*",28800,320,4800,90,90,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",14400,160,2400,90,90,2014-11-19
6KG POCKET,"VALENCIA,CL 2,XL,*,*",4990,497,2982,10.04,20,2014-11-24
6KG POCKET,"VALENCIA,CL 2,L,*,*",3310,305,1830,10.85,18,2014-11-24
10KG JUMBLE CARTON,"VALENCIA,CL 2,S,*,*",5250,210,2100,25,25,2014-11-24
6KG POCKET,"VALENCIA,CL 2,S,*,*",618,41,246,15.07,18,2014-11-24
6KG POCKET,"NAVEL,CL 2,L,*,*",30985,1466,8796,21.14,25,2014-11-24
6KG POCKET,"VALENCIA,CL 2,M,*,*",23888,1094,6564,21.84,25,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,125,*",370,6,90,61.67,70,2014-11-24
6KG POCKET,"MIDKNIGHT,CL 2,L,*,*",410,15,90,27.33,28,2014-11-24
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,50,*",4550,65,975,70,70,2014-11-24
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,55,*",13650,195,2925,70,70,2014-11-24
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,60,*",18340,262,3930,70,70,2014-11-24
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,65,*",8050,115,1725,70,70,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,60,*",4550,65,975,70,70,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,65,*",10710,153,2295,70,70,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",4420,63,945,70.16,80,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",2560,33,495,77.58,85,2014-11-24
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,105,*",2400,30,450,80,80,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,48,*",400,5,75,80,80,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",84720,1059,15885,80,80,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,72,*",7180,83,1245,86.51,95,2014-11-24
