"UnitMass","ProductName","tvaluesold","tquantitysold","tkgsold","avgprice","highestprice","date"
"18.50KG CARTON","FUJI,CL 1,150",3600,36,666,100,100,"2014-11-25"
"18.50KG CARTON","BRAEBURN,CL 1,100",6320,38,703,166.32,200,"2014-11-25"
"18.50KG CARTON","CRIPPS PINK,CL 1,110",7310,38,703,192.37,220,"2014-11-25"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,70",830,4,74,207.5,220,"2014-11-25"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,110",86036,430,7955,200.08,216,"2014-11-25"
"18.50KG CARTON","STARKING,CL 1,120",8740,46,851,190,190,"2014-11-25"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,120",80740,488,9028,165.45,190,"2014-11-25"
"18.50KG CARTON","CRIPPS PINK,CL 1,100",8485,49,906.5,173.16,245,"2014-11-25"
"18.50KG CARTON","STARKING,CL 1,110",11155,57,1054.5,195.7,200,"2014-11-25"
"18.50KG CARTON","CRIPPS PINK,CL 1,80",1200,6,111,200,220,"2014-11-25"
"18.50KG CARTON","STARKING,CL 1,80",13010,65,1202.5,200.15,220,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,80",15890,69,1276.5,230.29,240,"2014-11-25"
"18.50KG CARTON","CRIPPS RED,CL 1,135",1400,7,129.5,200,200,"2014-11-25"
"18.50KG CARTON","GRANNY SMITH,CL 1,70",1450,7,129.5,207.14,220,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,90",15000,70,1295,214.29,240,"2014-11-25"
"18.50KG CARTON","GRANNY SMITH,CL 1,80",15416,72,1332,214.11,220,"2014-11-25"
"18.50KG CARTON","CRIPPS PINK,CL 1,135",1580,8,148,197.5,200,"2014-11-25"
"18.50KG CARTON","STARKING,CL 1,100",15555,81,1498.5,192.04,200,"2014-11-25"
"18.50KG CARTON","STARKING,CL 1,135",1570,9,166.5,174.44,180,"2014-11-25"
"18.50KG CARTON","STARKING,CL 1,90",20575,99,1831.5,207.83,240,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,*,110,*",2160,"11.00","203.50",196.36,220,2014-11-26
"18.50KG CARTON","CRIPPS PINK,CL 1,*,100,*",2160,"12.00","222.00",180,180,2014-11-26
"18.50KG CARTON","STARKING,CL 1,*,100,*",2400,"12.00","222.00",200,200,2014-11-26
"18.50KG CARTON","STARKING,CL 1,*,90,*",24000,"130.00","2405.00",184.62,230,2014-11-26
"18.50KG CARTON","TOPRED,CL 1,*,100,*",29580,"148.00","2738.00",199.86,200,2014-11-26
"18.50KG CARTON","CRIPPS PINK,CL 1,*,70,*",2700,"15.00","277.50",180,180,2014-11-26
"18.50KG CARTON","STARKING,CL 1,*,70,*",2760,"15.00","277.50",184,200,2014-11-26
"18.50KG CARTON","GRANNY SMITH,CL 1,*,120,*",27390,"152.00","2812.00",180.2,190,2014-11-26
"18.50KG CARTON","GRANNY SMITH,CL 1,*,90,*",3300,"17.00","314.50",194.12,220,2014-11-26
"18.50KG CARTON","CRIPPS PINK,CL 1,*,90,*",3260,"19.00","351.50",171.58,180,2014-11-26
"18.50KG CARTON","GRANNY SMITH,CL 1,*,100,*",3780,"19.00","351.50",198.95,210,2014-11-26
