UnitMass,ProductName,tvaluesold,tquantitysold,tkgsold,avgprice,highestprice,date
18.50KG CARTON,"CRIPPS PINK,CL 1,80",880,4,74,220,220,13/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,110",7610,40,740,190.25,200,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,150",60875,407,7529.5,149.57,150,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,135",70065,421,7788.5,166.43,180,13/11/14
18.50KG CARTON,"STARKING,CL 1,135",8720,49,906.5,177.96,180,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,90",13490,59,1091.5,228.64,250,13/11/14
18.50KG CARTON,"TOPRED,CL 1,60",1320,6,111,220,220,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,165",8920,61,1128.5,146.23,160,13/11/14
18.50KG CARTON,"FUJI,CL 1,90",18010,78,1443,230.9,240,13/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,80",1760,8,148,220,220,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,80",15350,85,1572.5,180.59,240,13/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,135",630,9,166.5,70,70,13/11/14
18.50KG CARTON,"STARKING,CL 1,120",17760,98,1813,181.22,200,13/11/14
18.50KG CARTON,"TOPRED,CL 1,120",19070,99,1831.5,192.63,220,13/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,80",210,1,18.5,210,210,14/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,90",240,1,18.5,240,240,14/11/14
18.50KG CARTON,"FUJI,CL 1,150",140,1,18.5,140,140,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,216",160,1,18.5,160,160,14/11/14
18.50KG CARTON,"STARKING,CL 1,150",160,1,18.5,160,160,14/11/14
18.50KG CARTON,"STARKING,CL 1,80",20740,106,1961,195.66,230,14/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,165",3360,112,2072,30,30,14/11/14
18.50KG CARTON,"STARKING,CL 1,90",21280,112,2072,190,190,14/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,90",2060,12,222,171.67,220,14/11/14
18.50KG CARTON,"TOPRED,CL 1,100",30970,145,2682.5,213.59,230,14/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,80",3100,15,277.5,206.67,220,14/11/14
18.50KG CARTON,"STARKING,CL 1,100",33600,168,3108,200,200,14/11/14
18.50KG CARTON,"TOPRED,CL 1,90",41570,181,3348.5,229.67,240,14/11/14
18.50KG CARTON,"FUJI,CL 1,100",360,2,37,180,180,14/11/14
